	input//#ImolaGP.edges	input//#BuenFinSeguro.edges	input//Maluma.edges	input//KAROL.edges	input//#UnPeligroParaMexico.edges	input//#SiguesTuLopez.edges	input//#MasterChefMx.edges	input//SystemofaDown.edges	input//Halloween.edges	input//Worlds2020.edges	input//Chile.edges	input//#MatriomonioIgualitarioPuebla.edges	input//#Elecciones2020.edges	input//Rayados.edges	input//Viena.edges	input//#TarjetaRosa.edges	input//#Fakeministas.edges	input//Pfizer.edges	input//#JusticeForJohnnyDepp.edges	input//#TheMandalorian.edges	input//#POSITIONS.edges	input//#LordMontajes.edges	input//Trump.edges	input//#LaBrujaDelPalacio.edges	input//Coco.edges	input//FONDEN.edges	input//#RatitaNoEstasSolo.edges	input//#XSXFridgeSweeps.edges	input//#JusticiaParaAlexis.edges	input//#1MTrajeados.edges	input//#CovidDerrotaAPuebla.edges	input//Censura.edges	input//#OfrendaEdomex.edges	input//DiaDeMuertos.edges	input//#SoloLasMujeresMenstruan.edges	input//#HappyAuronDay.edges	input//#Confetti.edges	input//#FelizMartes.edges	input//Pumas.edges	input//Chivas.edges	input//#nosfaltajorge.edges	input//Bob_Esponja.edges	input//#FelizMiercoles.edges	input//Yakult.edges	input//Manchester_United.edges	input//#SerieMundial.edges	input//#ByeByeTrump.edges	input//Greta.edges	input//#TrumpvsBiden.edges	input//#Temblor.edges
input//Chile.edges	0.28503554507015616	0.4498067924247656	0.1975265025959243	0.16561713863361704	0.21789240084744854	0.18014302768381052	0.1753748020459459	0.3739835415325754	0.27523907994053354	0.27330800426724267	0	0.2272242271686934	0.27184248814793455	0.19250892360810323	0.2458472537888775	0.4639901515984354	0.2521872093700014	0.21773395161906794	0.26907507836854483	0.33521440857009743	0.30385548218394554	0.18249988309532805	0.24730976562008156	0.1795282449157507	0.15445088261411177	0.17546367975116017	0.24900271909431448	0.44609877860397973	0.19467276349711626	0.19772311586415192	0.2368961254937063	0.2479247771276053	0.4404919562179711	0.16989545969523256	0.1870548618712906	0.19717417396928583	0.21875046333110115	0.3152636314183027	0.17649991171470014	0.1547718676037234	0.3145227183657193	0.271435919528625	0.1636516021052824	0.24275463906205008	0.2724098466646906	0.2366926392962575	0.22554952808262707	0.43704302163794995	0.27442120087811117	0.29825474807951
input//#MatriomonioIgualitarioPuebla.edges	0.2990039393282018	0.428105605724974	0.21523999412780725	0.1771217524970461	0.17936012287776992	0.20517408126611714	0.22680119734699966	0.3710659454659542	0.3375642610676669	0.32867331787737897	0.2272242271686934	0	0.306008651775847	0.2041303875867304	0.3052722330391401	0.4548177105522878	0.25504414071281545	0.2832839830109366	0.2936684952287558	0.32632364643938294	0.33286844545343086	0.20109877993970005	0.30685503635355493	0.17829521513040558	0.21954264820525282	0.23261131873818386	0.23930829733293202	0.422739696917909	0.23022547999867327	0.2049648614733095	0.22182107435778164	0.27973147927833364	0.3951706435647412	0.20460354679890302	0.21720208717918899	0.189195910741231	0.19670004610553038	0.32773889707743475	0.23947809298955114	0.19491403969624133	0.339317598382758	0.3083601111090485	0.1832721914256883	0.33896139063280784	0.3196013548040474	0.2641058479929109	0.2530066473547803	0.4337854750287078	0.30608263391018775	0.31421423468903986
input//#Elecciones2020.edges	0.3534396167441386	0.43953569758131794	0.3071705435053359	0.28336487087226836	0.30649815613648435	0.3118248361541648	0.32174636471865214	0.3747400045045285	1.0	0.31188258123809487	0.27184248814793455	0.306008651775847	0	0.29504608261281196	1.0	0.45074978695802337	0.3669556513700014	0.284643393115939	1.0	0.3171966778095019	0.32542919709993146	0.30059219375378887	1.0	0.2760634009193881	0.270085768567665	0.3108109667575666	0.3320224656516738	0.4200917203066643	0.33400073632368044	0.30935285072119734	0.34055360223262854	0.30670850305364106	0.4128327470146622	0.28039835594135143	0.3013113149303709	0.30329765452913693	0.3098101708073764	0.3626721962154772	0.2994280848813554	0.28474808126454587	1.0	1.0	0.24508869411300505	1.0	0.3350643479538087	0.3569542032350479	0.30784030307974486	1.0	0.3659070679708013	1.0
input//Rayados.edges	0.30186406745435024	0.4416139771807813	0.19732794046494317	0.16589494511516267	0.1968581884628955	0.16806822056710158	0.18799049793913547	0.39174236048884037	0.29985218924341495	0.3316354164044192	0.19250892360810323	0.2041303875867304	0.29504608261281196	0	0.2937486644879378	0.4629861971517639	0.22659563851514697	0.2422335106469271	0.25221120249700146	0.3165261164923494	0.29648682078368416	0.17219762059946953	0.2903152103059633	0.1730103666852365	0.1877035564502586	0.16947223301248915	0.22965723800710425	0.4551375300372672	0.20585842125109377	0.18886209466743953	0.20765992194559446	0.27501526675366494	0.43493343805175866	0.19357153586583364	0.1919331235901266	0.17693791889096921	0.19618540879474955	0.3305822201235681	0.202026272560621	0.1303423082785814	0.35233137621628086	0.30741979774430583	0.18000514756924535	0.2984793659146111	0.27116717139524305	0.27176477256479437	0.26307696039862916	0.4388132345899638	0.2999535696897664	0.33838371942178935
input//Viena.edges	1.0	0.46594118452193733	0.27417063270080866	0.26158345171373987	0.28528670678074675	0.2842267939198745	0.26721644016451496	0.40124609256720456	1.0	0.3000412327726004	0.2458472537888775	0.3052722330391401	1.0	0.2937486644879378	0	0.4604436675909853	1.0	0.278668945707637	0.32579119218909447	0.36613889140605593	0.2671417182447835	0.28484503666044836	1.0	0.265078988167853	0.26245231945094216	0.29018564628229226	1.0	0.4477606160088702	1.0	0.29811552814676323	0.3389360816718088	0.27343482615514836	0.44945951608382884	0.2425737541952242	0.29810106885271137	0.2747560908888186	0.2875722565772205	0.32657007352958034	0.24985023543198948	0.2586133087444922	1.0	1.0	0.26174972495594184	0.2511176762221654	0.35407017045613587	1.0	0.28004926923478135	1.0	0.37572797927876533	0.3174704404539559
input//#TarjetaRosa.edges	0.48217720093723504	1.0	0.461177320434639	0.44235241034229145	0.417422285692448	0.4549674196232426	0.47462900255536233	0.4795883708892619	0.49881862869504434	0.48662442996862076	0.4639901515984354	0.4548177105522878	0.45074978695802337	0.4629861971517639	0.4604436675909853	0	0.49341434370707193	0.48241010189843636	0.4750662993833954	0.5089374692828013	0.48615555010539957	0.4443540625845813	0.4366683781106466	0.4159371932709581	0.47381109784098185	0.47278702490798774	0.4866232641916043	1.0	0.4779660774575224	0.4418977766331884	0.47219238653605866	0.48759190123053187	1.0	0.44708484213204147	0.44935409685618943	0.44240767061038033	0.45682735772398275	0.46637620823355486	0.47349549541209013	0.46542815136725624	0.44074150754036345	0.5051168165474431	0.44066088735051	0.48479879047705676	0.4678499006197856	0.475165178073524	0.4569558742133669	0.517486503038372	0.4866112603245373	0.46066068539061955
input//#Fakeministas.edges	1.0	0.4946840343658361	0.24904034360071547	0.21782734718029662	0.23316610336226506	0.20295518973177396	0.23295282813711815	0.43085573839158176	0.37413618393213754	0.4017014799854589	0.2521872093700014	0.25504414071281545	0.3669556513700014	0.22659563851514697	1.0	0.49341434370707193	0	0.31571406185459805	0.3254413717183138	1.0	1.0	0.22802567598748746	0.3678553096538473	0.22437529348356278	0.24429162189683462	0.2304921238173856	1.0	0.5010484705197678	0.2087848813669445	0.21989245463559481	0.23953372731933242	1.0	0.4620783761736925	0.25034215024595674	0.2218352363001337	0.22259851566205724	0.2494655100429466	0.38296821828796124	0.25287788514742926	0.2079097758662437	0.39415460746524467	0.3356580024054311	0.22832109456359517	0.3607125142400911	0.31800917983145494	0.27352250752766927	0.3229010627676826	1.0	0.3244601309200531	0.38962265700974374
input//Pfizer.edges	0.2943181923107795	0.4646451772852511	0.24626856774456563	0.22733230347359268	0.26646926847860175	0.25216772159920464	0.23883892978047183	0.38259634453736335	0.31630054256499307	1.0	0.21773395161906794	0.2832839830109366	0.284643393115939	0.2422335106469271	0.278668945707637	0.48241010189843636	0.31571406185459805	0	0.30037062867381303	1.0	0.29198698377036914	0.2436714255485799	0.2844886420637669	0.23130884602109347	0.2222189700079732	0.21367187076480743	1.0	0.46650306917407824	0.25509941328684405	0.24342861097542912	0.2842454761257358	0.22014659939841996	0.4531344110517258	0.21190533144067747	0.24191604043227632	0.24885252688553017	0.27517543417629375	0.35573639330653983	0.22517222334216358	0.22173377663878002	0.33932719855774696	0.269209423292611	0.2134679289687964	0.30110079023709835	0.29490967526766465	0.2581424851837921	0.27573361366060434	1.0	1.0	0.3102386639205392
input//#JusticeForJohnnyDepp.edges	1.0	0.46387394385965974	0.2708482183821679	0.2497816323267753	0.27011905057279684	0.2486434376919423	0.23977093814360728	1.0	0.3583766632239933	1.0	0.26907507836854483	0.2936684952287558	1.0	0.25221120249700146	0.32579119218909447	0.4750662993833954	0.3254413717183138	0.30037062867381303	0	1.0	1.0	0.2639479690342096	1.0	0.24527420439304537	0.2515927587921106	0.22735951645988073	0.26323363748531947	0.4729054038359648	0.2713274423663731	0.24507424885126028	0.29838414896698695	1.0	0.4541803083968684	0.2571243814969735	0.24308505610708386	0.23635137333951484	0.2594943122503358	1.0	0.26672576863551856	0.23260242041578294	1.0	1.0	0.2703101620842743	1.0	0.2858116147568659	0.32670016940898783	0.33234127384725287	1.0	0.3673177231905903	1.0
input//#TheMandalorian.edges	1.0	0.48211114659796905	0.2849464100966388	0.27333328647423005	0.30857810355348025	0.3305299306264944	0.36955890619991716	0.4139544094710105	1.0	1.0	0.33521440857009743	0.32632364643938294	0.3171966778095019	0.3165261164923494	0.36613889140605593	0.5089374692828013	1.0	1.0	1.0	0	0.3209875738501011	0.3098086300012808	0.35488923256890537	0.27338165620061994	0.2841121304215375	1.0	1.0	0.4782425704922527	1.0	0.3184201385469033	0.3381367966727087	1.0	0.4745412672839421	0.28156451062069743	0.31049457885006826	0.31058239254366715	0.31666311637309275	0.3910758138068998	1.0	0.31215841872444516	0.37389516928802546	1.0	0.26525720717073087	1.0	1.0	1.0	0.3149680587177113	1.0	1.0	0.3714095592411061
input//#POSITIONS.edges	1.0	0.49107228015895177	0.30704652807744537	0.29552665958166335	0.3274108592219078	0.3267940394621168	0.3132520728442342	1.0	0.44248714144818624	1.0	0.30385548218394554	0.33286844545343086	0.32542919709993146	0.29648682078368416	0.2671417182447835	0.48615555010539957	1.0	0.29198698377036914	1.0	0.3209875738501011	0	0.3191137709667705	1.0	0.28764996773716167	0.2915919522156497	0.3045092484210067	1.0	0.48166821847083885	1.0	0.33862474946370336	0.35586067547209455	0.2841936192067631	0.4742321040710685	0.2860590042113652	0.313721974602288	0.3106596949717496	0.3162211679830048	0.3686769861904564	0.27036955724873557	0.28448432199062357	1.0	1.0	0.2781230387413639	0.3401868645661268	0.33154402542576744	1.0	0.3392488016054541	1.0	0.39065959412169726	0.3562514873834428
input//#LordMontajes.edges	0.27719764053020934	0.44134348433387305	0.19298296076282606	0.1574532462867273	0.1760354471619674	0.15389625588370048	0.18196808473590642	0.3700974523488064	0.3067614992106704	0.32645502407396243	0.18249988309532805	0.20109877993970005	0.30059219375378887	0.17219762059946953	0.28484503666044836	0.4443540625845813	0.22802567598748746	0.2436714255485799	0.2639479690342096	0.3098086300012808	0.3191137709667705	0	0.2677204360126003	0.14768832542537635	0.18782300852940548	0.18224669409191463	0.21673094272080107	0.4371318041136457	0.19222319549663403	0.16494640689194995	0.21139471705460156	0.2648959917479463	0.4202470386971242	0.18579853812723857	0.17470968356589467	0.1577682539504649	0.17863306398139478	0.3244819940749879	0.19195618910394419	0.15474898580043528	0.33894136863191804	0.2893238642357092	0.177926722117269	0.28878791933603876	0.27584886435414846	0.2376039156799833	0.25068505281585607	0.4469872627721633	0.2815368391300952	0.33635518446638923
input//Trump.edges	0.3450283841150942	0.4456868843342271	0.29890509765508433	0.2681972337370806	0.3116528259739728	0.31454908986960217	0.3030606480046816	1.0	0.3474005408924312	0.36185216958970456	0.24730976562008156	0.30685503635355493	1.0	0.2903152103059633	1.0	0.4366683781106466	0.3678553096538473	0.2844886420637669	1.0	0.35488923256890537	1.0	0.2677204360126003	0	0.2700856348452376	0.276309144439184	0.30262565686492493	0.3410013034661642	0.4181482114462004	0.32664690928680995	0.307789473824828	0.34233663572959705	0.29113327978294523	0.43328465844047637	0.2695335728884093	0.2712738965013448	0.2925295983078976	0.306217823876636	0.32907042291101796	0.27817154639216246	0.28326584104727115	1.0	1.0	0.25920067848005535	1.0	0.3096627747035655	0.34512354953900704	0.305481515591302	1.0	0.3779620273500668	1.0
input//#LaBrujaDelPalacio.edges	0.2613057092486535	0.4154260152644146	0.17670363749264872	0.13798958806584483	0.15091428645836624	0.15116890430836638	0.17297945749968702	0.3526741871570219	0.30254447619142644	0.29343615105191645	0.1795282449157507	0.17829521513040558	0.2760634009193881	0.1730103666852365	0.265078988167853	0.4159371932709581	0.22437529348356278	0.23130884602109347	0.24527420439304537	0.27338165620061994	0.28764996773716167	0.14768832542537635	0.2700856348452376	0	0.17542684894947036	0.17320937119203295	0.19667099221814377	0.41468230637910686	0.18155091361751274	0.15822773947041158	0.1954352691974891	0.23629001524217608	0.40858646201475624	0.16420340548060264	0.16016641063763126	0.1448431372241702	0.16733140701615679	0.3134974014642551	0.1722732303480229	0.14458657966781063	0.3123264067546657	0.2774629933061289	0.15102095741607524	0.2795810331629419	0.2701955087412755	0.21638507299746534	0.22196273705091007	0.41611889185551976	0.2581964613442702	0.2998357489826551
input//Coco.edges	0.2911342779205741	0.448018371124679	0.17214120664173238	0.15446014999811242	0.2154440852810896	0.17096397189569057	0.17547181811688883	0.3760270042763567	0.263153958885312	0.29658350034228687	0.15445088261411177	0.21954264820525282	0.270085768567665	0.1877035564502586	0.26245231945094216	0.47381109784098185	0.24429162189683462	0.2222189700079732	0.2515927587921106	0.2841121304215375	0.2915919522156497	0.18782300852940548	0.276309144439184	0.17542684894947036	0	0.16793297310902755	0.21592246602268328	0.4411533626836285	0.1948849262719391	0.18461149650620257	0.2275305615489639	0.2437442244613781	0.4311493605039325	0.17147229518948226	0.17308466160259872	0.18398073048861696	0.20467736174549522	0.33314542952427917	0.16975866447886778	0.135626331434879	0.3085300315910161	0.2583377635114191	0.15426045634489427	0.24925460763036744	0.24609486972769967	0.24805333837698218	0.2226651776301164	0.4230129383276532	0.26113391818799614	0.29972929921230174
input//FONDEN.edges	1.0	0.46489876794787477	0.18662999754875287	0.16882287364942006	0.20981244502095286	0.14877031004887675	0.1634631388311203	0.39395209899647143	0.26960668041527625	0.3255918405535657	0.17546367975116017	0.23261131873818386	0.3108109667575666	0.16947223301248915	0.29018564628229226	0.47278702490798774	0.2304921238173856	0.21367187076480743	0.22735951645988073	1.0	0.3045092484210067	0.18224669409191463	0.30262565686492493	0.17320937119203295	0.16793297310902755	0	1.0	0.4724626274842586	0.1717676366073405	0.187234262188135	0.21873640000935501	1.0	0.4431694322993276	0.178905159896392	0.19049002928490688	0.18560598328122757	0.20808090334075058	0.33436082592265304	0.17917123566764614	0.13634624831663278	0.355719591234285	0.2743350227267266	0.1808069931952393	0.242498590233152	0.2632319762665296	0.24893970126835097	0.2553759265646426	0.4747194582406097	0.2959585999318126	0.33499850934706277
input//#RatitaNoEstasSolo.edges	1.0	0.47706873603211586	0.219650125977207	0.19289416869397646	0.2185754666164732	0.23196685621907365	0.23910539455009816	0.4128253238335692	0.34644810914942936	0.3380488586160668	0.24900271909431448	0.23930829733293202	0.3320224656516738	0.22965723800710425	1.0	0.4866232641916043	1.0	1.0	0.26323363748531947	1.0	1.0	0.21673094272080107	0.3410013034661642	0.19667099221814377	0.21592246602268328	1.0	0	0.48312119820473265	1.0	0.206764436618605	0.23105548951848742	1.0	0.45311448286459965	0.22403944523174135	0.20149858914536734	0.20162929392350937	0.21779602590280867	0.3534200108889717	1.0	0.20532808951397585	0.3486044970229428	1.0	0.20259850134171864	0.30934719528925947	0.31326647624066783	1.0	0.28243922106653685	1.0	1.0	0.3246743505038573
input//#XSXFridgeSweeps.edges	0.46705301318978787	1.0	0.4494647708304158	0.42202280556030036	0.4124875495478668	0.4479721708146678	0.4693281103637481	0.4783094214581767	0.4760330309253007	0.4521283665556176	0.44609877860397973	0.422739696917909	0.4200917203066643	0.4551375300372672	0.4477606160088702	1.0	0.5010484705197678	0.46650306917407824	0.4729054038359648	0.4782425704922527	0.48166821847083885	0.4371318041136457	0.4181482114462004	0.41468230637910686	0.4411533626836285	0.4724626274842586	0.48312119820473265	0	0.47547493624404225	0.4325083230595389	0.4552038912046914	0.472568424492937	1.0	0.4349318241736597	0.42786865712050404	0.43238107809090187	0.4551659392348282	0.47178863042185004	0.459108452203267	0.4493723975440451	0.4084399532868568	0.4634146684293896	0.41878519434581585	0.49234274805582745	0.4625876871286556	0.46404801305256116	0.41841711331685727	0.48777886559473227	0.4605026815967206	0.43879353017386946
input//#JusticiaParaAlexis.edges	1.0	0.4816720005268278	0.2124745638907416	0.16827553582167143	0.19343871046246985	0.1500171422085086	0.15647697909797886	0.4130061039103111	0.3248847135484372	0.3528819365461605	0.19467276349711626	0.23022547999867327	0.33400073632368044	0.20585842125109377	1.0	0.4779660774575224	0.2087848813669445	0.25509941328684405	0.2713274423663731	1.0	1.0	0.19222319549663403	0.32664690928680995	0.18155091361751274	0.1948849262719391	0.1717676366073405	1.0	0.47547493624404225	0	0.16536048272729997	0.20447477909441725	0.26263062605352006	0.4506372361860883	0.18640027505982637	0.17993047094716863	0.18154022585968166	0.20985454325675978	0.34353137770495146	0.17050683982326575	0.16219200094672537	0.3548687290792254	0.2776741992834876	0.18349202281633348	0.301729431167019	0.31596050493708094	0.22092651961515708	0.2520307875617802	1.0	0.2993452359402139	0.3411312524511907
