	input//#UnPeligroParaMexico.edges	input//#LaBrujaDelPalacio.edges	input//#TarjetaRosa.edges	input//#LordMontajes.edges	input//#1MTrajeados.edges	input//#BuenFinSeguro.edges	input//#Fakeministas.edges	input//#CovidDerrotaAPuebla.edges	input//Censura.edges	input//#SiguesTuLopez.edges	input//#JusticeForJohnnyDepp.edges	input//#RatitaNoEstasSolo.edges	input//#XSXFridgeSweeps.edges	input//KAROL.edges	input//Maluma.edges	input//#MasterChefMx.edges	input//#JustiiciaParaAlexis.edges	input//FONDEN.edges	input//#MatriomonioIgualitarioPuebla.edges	input//#POSITIONS.edges	input//Viena.edges	input//Rayados.edges	input//SystemofaDown.edges	input//Coco.edges	input//#Elecciones2020.edges	input//Chile.edges	input//#ImolaGP.edges	input//Worlds2020.edges	input//Trump.edges	input//#TheMandalorian.edges	input//Halloween.edges	input//Pfizer.edges	input//#OfrendaEdomex.edges	input//DiaDeMuertos.edges	input//#SoloLasMujeresMenstruan.edges	input//#FelizMartes.edges	input//#ByeByeTrump.edges	input//#nosfaltajorge.edges	input//Chivas.edges	input//#HappyAuronDay.edges	input//Bob_Esponja.edges	input//#FelizMiercoles.edges	input//#Confetti.edges	input//Manchester_United.edges	input//Greta.edges	input//#TrumpvsBiden.edges	input//Yakult.edges	input//#Temblor.edges	input//#SerieMundial.edges	input//Pumas.edges
input//#JusticeForJohnnyDepp.edges	14.802027886018358	7.355960924637565	14.03239469407723	4.632704135620843	9.388008184130276	4.777115215342762	9.904486560674405	10.159359872790207	3.6082268642157884	12.528691789201883	0	8.066786013797955	8.712057770798912	8.997128447405025	12.659604008871192	12.610790450933578	10.47409706624415	8.696863485739152	10.607820275136286	13.56091342296592	11.556680160792112	15.813147371748256	15.432486257482392	10.554455714711269	13.561199582225726	10.251866184237253	17.738621294555852	15.972377008522837	14.3994485211584	12.205996189323137	9.956105361715299	16.41754222522407	8.199616728214247	11.819036346027765	3.5837290973525913	10.668732611033512	13.697249140989367	10.599209174379896	14.888829299543788	16.042139596079178	4.400260425813078	18.313222215549985	5.615330555599148	13.098565035114206	15.372342596571418	14.580944319153913	16.124723705884982	12.668392108572197	15.336066946033094	17.4660002786449
input//#RatitaNoEstasSolo.edges	18.07003722628639	6.439801230945531	17.596889793407552	4.584101936419624	8.350413128020007	9.937110086811376	9.535796731786272	12.430080041107324	7.08188158580721	9.105828171007532	8.066786013797955	0	8.6500854461899	11.379057056976022	10.433618869602565	9.494254717619057	12.752211885435214	3.239264094230136	7.393693027027912	11.251027977192123	8.68123022784551	13.49593955712443	13.543545908422958	9.304960315452027	11.012554060096596	8.121280028446115	15.867448719806763	13.97268810075289	12.078227356906877	10.737349853921836	9.339340780103397	14.59609351005735	9.983807889543632	9.907052568964282	7.438734245960921	7.448684597181582	11.317669905026001	8.64459470255974	12.482846103592	21.07040201061692	5.588619228594181	16.44138098126707	7.788770418165142	10.241752710383565	13.170133217675922	12.93868670609473	19.60499755198307	10.327137476183985	13.177851635437115	15.509854345731808
input//#XSXFridgeSweeps.edges	19.772235797489476	4.66904476571991	16.388171941235072	7.570498636255383	12.971707948706193	12.14052153473327	9.613631172462085	9.775621021637397	8.296474307592387	12.660839961600344	8.712057770798912	8.6500854461899	0	15.612435178455296	10.43239373036939	10.19324872156384	17.762988991570232	7.563141978156112	10.776076028740878	11.105164144304204	8.602152559305118	12.772159266874576	11.859792805720051	8.087766664057238	10.803849123036773	9.637807718793669	14.02967975454781	12.501498416478071	10.997507273553405	10.111929899051983	7.967545828071759	12.868466302636477	13.805343780470508	9.530920235236659	10.32729276237882	12.94789000573127	11.22418673965716	9.38317757939406	11.647844659362327	23.541998313905008	7.434413294469732	15.134158464775565	6.949133709179943	10.477069864619658	11.892545508714063	11.235592178594805	20.8550248689236	9.891112749993344	12.23317257917886	13.765934021587215
input//KAROL.edges	13.91998306643453	13.913271256295024	17.635003078801283	9.214629485337618	6.638329101832193	6.904552494024973	15.001502803187318	16.061486430877057	10.215308829773898	14.567421291130838	8.997128447405025	11.379057056976022	15.612435178455296	0	16.662664294180363	16.86484647901273	4.119324649518593	13.326236429294998	13.187140761150157	17.10765509215769	16.023529670065976	20.12109729220989	20.251826053311838	15.532315498237569	17.649813077373896	13.594206885784	22.38864242044521	20.618131188046533	18.882080787319452	16.58796316175021	14.753271306698169	20.90387878265668	5.074330726566052	16.2327539124605	8.978004405997837	8.563256067684144	17.719214748348495	15.703548053553376	19.052222885754546	12.062477607394847	9.02969505692136	22.618796602915058	12.405517360154974	16.824336416124	20.142750309755673	19.233116699234902	15.38485292175298	17.54092206172559	19.891630941773737	22.0041138054097
input//Maluma.edges	21.554011269901046	10.473999026010016	20.212565101070542	10.801497899744126	13.949296058852308	14.750737545116781	7.4268716385991	9.559581271721797	12.3378278808407	6.326560283906386	12.659604008871192	10.433618869602565	10.43239373036939	16.662664294180363	0	4.365923639977042	18.27929165364214	10.286216094643718	5.69731197613812	4.695148107175079	4.578496057227262	5.732099682068651	5.871837619909382	5.210299602130798	3.740079352937269	5.281147590324607	7.802913934554542	5.986904097931874	5.3012096279323675	4.307443000560069	5.1716598730987124	6.571210237071676	15.248597753825843	5.29821650484325	13.182198673471737	13.51452921071116	4.709113112082136	6.162667200852313	4.301448809557691	24.469960815765038	10.896933967176516	8.666842905760548	11.885209587390072	4.511382277279891	5.6814599778928745	5.766623619882224	22.817550817422493	3.0515232711704567	5.763214981213801	6.859804702251847
input//#MasterChefMx.edges	21.99300364906295	10.045423433948464	20.41656029019239	10.23434994790143	13.908518121169124	15.003261960753603	7.003297939146855	10.581706106397387	12.028344939134188	5.388653703409519	12.610790450933578	9.494254717619057	10.19324872156384	16.86484647901273	4.365923639977042	0	18.609671103341896	9.160904158797008	5.344731188637753	3.471851033376152	2.6019399607261957	4.583036396305948	4.740964093069287	4.092412796620595	2.7778884517360445	4.596281954634064	7.135516203317149	5.118407569120835	4.061051975075117	3.590120881561469	5.02493949696594	5.815677762212348	15.11285593522404	2.982662096226275	13.033791363294569	12.932403085634382	2.4374247489570333	5.003408490085716	3.8694963663000386	25.46025639278142	10.507791739164496	7.67871258621742	11.41670332430821	2.528352984620042	4.360400103247749	4.514957032677746	23.34039157946604	2.9685161057648166	4.176996759071622	6.821823302911841
input//#JustiiciaParaAlexis.edges	14.463753948442337	15.73352349816957	18.84612291797059	11.182642399373782	8.96444068557776	7.84108727622891	16.71024286366365	17.410958075848264	11.38633460822998	15.955719512013594	10.47409706624415	12.752211885435214	17.762988991570232	4.119324649518593	18.27929165364214	18.609671103341896	0	14.871339596268431	14.760326340535109	19.167657223200987	18.059271834182468	21.867045372834713	22.10428900854388	17.69088257661257	19.54154623342227	15.635148560178889	24.22142904899342	22.454544262627145	20.89811187992857	18.464669778853796	16.829022008991267	22.851484117279707	7.650282301138154	18.306677537234744	9.383894886422318	10.781544395487481	19.63274474858515	17.311641133487402	20.910771358547322	10.779880579604955	11.38182954529012	24.420705576759218	14.120335105275407	18.824067016501694	21.922948927765926	21.262551249374884	15.862315434303603	19.154826423268698	21.677425745881028	23.81729002206936
input//FONDEN.edges	18.988219509650115	5.449979055085438	17.265819792064036	5.685756720320391	10.255047519631647	11.273309077061057	8.73929502536279	12.1069583404273	7.238888109922754	9.324286752710265	8.696863485739152	3.239264094230136	7.563141978156112	13.326236429294998	10.286216094643718	9.160904158797008	14.871339596268431	0	7.4585857209663455	11.127229290770254	8.28613034071252	13.041456327982548	12.97606122552059	8.787081925946104	10.735740496763759	8.074600986395943	15.415647692601205	13.474005401177903	11.646981674180923	10.577819447551557	9.25816789478496	14.174684251091506	11.630673460154412	9.402445580402548	8.357852884318168	9.536236266691748	10.981095482826426	7.679492249343619	12.124271499010295	22.51125601510061	6.321334831566596	16.120892764615576	7.708761860996403	10.063481617890902	12.571021659168398	12.542880611502055	20.21777602508552	9.815067564999142	12.647427339362892	15.109468479995169
input//#MatriomonioIgualitarioPuebla.edges	19.135833051095833	9.4535971376242	18.764127349877867	8.097854433788429	10.450262610420603	12.313939753587116	6.5684389241357275	10.794248229959253	10.06177858102567	2.804621696099012	10.607820275136286	7.393693027027912	10.776076028740878	13.187140761150157	5.69731197613812	5.344731188637753	14.760326340535109	7.4585857209663455	0	6.518448342470363	5.341077615915045	8.620716694057101	9.157620860665867	6.037671555763708	6.4652954372751195	3.6551065130138922	11.523542923668149	9.518222056457102	8.072591694602911	6.520086260444809	6.547568171658418	10.134528349838652	11.7540494861494	5.836849866171332	10.571271337707596	9.981362694251173	6.40408793380818	5.226725962337102	7.807374741576224	21.771408777139495	8.272166168614257	11.905917911886721	10.400460100987706	5.713264772975134	8.748427357717945	8.788405550578759	20.283786690312002	6.174936945243503	8.5285824421879	11.053838803400083
input//#POSITIONS.edges	22.369380884168745	11.509408242957573	21.108293983968995	11.253259274933017	14.147288177550303	15.821783951546717	7.930848052545089	10.879516719339776	13.213943391233936	6.465149487239822	13.56091342296592	11.251027977192123	11.105164144304204	17.10765509215769	4.695148107175079	3.471851033376152	19.167657223200987	11.127229290770254	6.518448342470363	0	3.5983755335769048	4.757403524878849	4.754210114081346	4.847266214094427	3.026618106406803	5.1764774539496665	6.733630228553133	4.968486352062023	3.991160528118991	3.993865790064968	5.146933332379594	5.108801734096409	15.306663422363656	3.7455423882813292	14.373816994441086	13.127327420605058	2.266823032517716	6.852192127036851	3.366889973602177	25.72330322554373	11.38110134325599	7.518860709320598	12.594331049900317	2.2394240488327313	4.736145917177699	4.004767977836718	23.611060172453048	4.495106418131394	4.61370394297494	6.320439472081643
